BEER:,BLACK LABEL,340ML,25
BEER:,CASTLE LAGER,340ML,25
BEER:,CASTLE LITE,340ML,20
BEER:,CASTLE LITE,QUART,40
BEER:,CORONA,340ML,35
BEER:,HANSA,340ML,20
BEER:,HANSA,QUART,35
BEER:,AMSTEL RADLER,340ML,30
BEER:,LION LAGER,QUART,30
BEER:,HEINEKEN LAGER,340ML,35
BEER:,HEINEKEN FREE,340ML,35
BEER:,HEINEKEN SILVER,340ML,35
BEER:,WINDHOEK DRAUGHT,440ML,30
BEER:,WINDHOEK LAGER,340ML,35
BEER:,STELLA ARTOIS,BOTTLE,30
BEER:,TAFEL LAGER,340ML,25
BRANDY:,KLIPDRIFT,25ML TOT,15
BRANDY:,RICHELIEU,25ML TOT,15
CIDERS:,FLYING FISH LEMON,340ML,25
CIDERS:,BERNINI,340ML,25
CIDERS:,HUNTERS DRY,340ML,30
CIDERS:,HUNTERS GOLD,340ML,30
CIDERS:,SAVANNA LIGHT,340ML,35
CIDERS:,SAVANNA DRY ,340ML,30
CIDERS:,SAVANNA FREE,340ML,35
CIDERS:,GINOLOGIST GIN & BITTER LEMON,340ML,40
CIDERS:,GINOLOGIST GIN & TONIC,340ML,45
CIDERS:,GINOLOGIST PINEAPPLE,340ML,40
CIDERS:,GINOLOGIST STRAWBERRY,340ML,40
FORTIFIED SPIRITS:,ALLESVERLOREN,50ML TOT,25
FORTIFIED SPIRITS:,OLD BROWN,50ML TOT,10
FORTIFIED SPIRITS:,BANGBROEK,25ML TOT,15
FORTIFIED SPIRITS:,PIMMS,50ML TOT,15
MIXERS:,APPLETIZER,CAN,35
MIXERS:,APPLETIZER,1250ML,65
MIXERS:,FL ROCK SHANDY,330ML CAN,15
MIXERS:,COKE,440ML PET,20
MIXERS:,COKE,1000ML,30
MIXERS:,COKE,1500ML,40
MIXERS:,COKE ZERO,1500ML,35
MIXERS:,COKE ZERO,500ML PET,20
MIXERS:,CRÈME SODA,440ML PET,20
MIXERS:,POWERADE,500ML,25
MIXERS:,FANTA GRAPE,440ML PET,20
MIXERS:,FANTA ORANGE,440ML PET,20
MIXERS:,FL BITTER LEMON,200ML CAN,15
MIXERS:,FL INDIAN TONIC LITE,200ML CAN,15
MIXERS:,FL LEMONADE,200ML CAN,15
MIXERS:,FL PINK TONIC,1000LT,30
MIXERS:,ICED TEA,CAN,25
MIXERS:,RED GRAPETIZER,330ML CAN,35
MIXERS:,ROSES KOLA TONIC,25ML TOT,5
MIXERS:,ROSES LIME CORDIAL,25ML TOT,5
MIXERS:,ROSES PASSION FRUIT,25ML TOT,5
MIXERS:,SCHWEPPS GINGERALE,1000ML,30
MIXERS:,SCHWEPPS SODA WATER,1000ML,30
MIXERS:,LIQUI FRUIT,CAN,25
MIXERS:,SCHWEPPS TONIC WATER,1000ML,30
MIXERS:,SPARKLING WATER,500ML,15
MIXERS:,SPRITE,440ML PET,20
MIXERS:,SPRITE ZERO,500ML PET,20
MIXERS:,STILL WATER,500ML,10
MIXERS:,STONEY,440ML PET,20
MIXERS:,TWIST GRANADILLA,440ML PET,20
MIXERS:,TWIST LEMON,440ML PET,20
PREMIUM SPIRITS:,KWV 10YO,25ML TOT,25
RED WINE:,PETIT PINOTAGE,BOTTLE,135
RED WINE:,PETIT MERLOT,BOTTLE,135
RED WINE:,MCGREGOR SHIRAZ,BOTTLE,120
RED WINE:,BRUCE JACK PINOTAGE MALBEC,BOTTLE,160
